,25AgoudiDepthDLC_resnet50_wbaJan24shuffle1_182000,image,oks
0,0,depth_2023-01-09 15_31_28.332235.png,0.9988117145910289
1,1,depth_2023-01-09 15_42_25.319423.png,0.9989426739946075
2,2,depth_2023-01-09 15_43_37.014326.png,0.9995451727976541
3,3,depth_2023-01-09 15_45_47.379684.png,0.9968525466433407
4,4,depth_2023-01-09 15_55_00.550829.png,0.9989252938006322
5,5,depth_2023-01-09 15_57_22.068461.png,0.9995135251422249
6,6,depth_2023-01-09 16_00_24.987108.png,0.9990962832078287
7,7,depth_2023-01-09 16_02_13.200158.png,0.9995356930537429
8,8,depth_2023-01-09 16_03_11.430699.png,0.996718951724693
9,9,depth_2023-01-09 16_16_19.316358.png,0.9804684424659869
10,10,depth_2023-01-09 16_16_19.972930.png,0.9766509310531342
11,11,depth_2023-01-09 16_19_35.884372.png,0.9127045471787745
12,12,depth_2023-01-09 16_19_37.078464.png,0.9146726796475161
13,13,depth_2023-01-09 16_20_00.614971.png,0.9989375326344818
14,14,depth_2023-01-09 16_24_28.071233.png,0.9335508872903575
15,15,depth_2023-01-09 16_27_28.708392.png,0.99818835014929
16,16,depth_2023-01-09 16_31_54.212443.png,0.9189547534579731
17,17,depth_2023-01-09 16_32_29.351675.png,0.9872164715014935
18,18,depth_2023-01-09 16_39_30.291730.png,0.8467706506111194
19,19,depth_2023-01-09 16_46_16.917268.png,0.9985537704756955
20,20,depth_2023-01-09 16_50_30.404556.png,0.9993086268473191
21,21,depth_2023-01-09 16_50_31.880877.png,0.996465810654286
22,22,depth_2023-01-09 16_54_57.087961.png,0.7913467391600992
23,23,depth_2023-01-09 17_02_21.274561.png,0.9847223833499703
24,24,depth_2023-01-09 17_09_34.324411.png,0.9273573938141557
